Speaker_d,filename_d,Group_d,Vowel_d,utts_vow_d,F1_d,F2_d
toogood,t55.1,t55,  E  ,toogood:t55.1_  E  ,573.5721093,1602.566118
toogood,t55.1,t55,  I  ,toogood:t55.1_  I  ,445.9670678,1568.938927
toogood,t55.10,t55,  O  ,toogood:t55.10_  O  ,524.8742568,1171.017654
toogood,t55.10,t55,  i:  ,toogood:t55.10_  i:  ,376.4261194,1865.718825
toogood,t55.10,t55,  U  ,toogood:t55.10_  U  ,437.1740472,1240.616175
toogood,t55.10,t55,  U  ,toogood:t55.10_  U  ,405.5512746,1269.935894
toogood,t55.10,t55,  V  ,toogood:t55.10_  V  ,569.7676617,1336.911119
toogood,t55.10,t55,  o:  ,toogood:t55.10_  o:  ,504.7204197,1721.798543
toogood,t55.10,t55,  E  ,toogood:t55.10_  E  ,488.6514603,1550.917797
toogood,t55.10,t55,  O  ,toogood:t55.10_  O  ,723.1510041,1388.08867
toogood,t55.10,t55,  A  ,toogood:t55.10_  A  ,586.534336,1744.576287
toogood,t55.10,t55,  O  ,toogood:t55.10_  O  ,506.9810161,1233.962249
toogood,t55.11,t55,  O  ,toogood:t55.11_  O  ,588.8829537,1224.417407
toogood,t55.11,t55,  @:  ,toogood:t55.11_  @:  ,546.0725853,1355.519094
toogood,t55.11,t55,  u:  ,toogood:t55.11_  u:  ,387.0647715,1351.879375
toogood,t55.11,t55,  a:  ,toogood:t55.11_  a:  ,584.630919,1288.7127
toogood,t55.11,t55,  I  ,toogood:t55.11_  I  ,399.5086926,1764.756425
toogood,t55.11,t55,  @:  ,toogood:t55.11_  @:  ,521.2136728,1337.92219
toogood,t55.11,t55,  u:  ,toogood:t55.11_  u:  ,380.7979196,1343.53285
toogood,t55.12,t55,  o:  ,toogood:t55.12_  o:  ,503.8122432,1128.296268
toogood,t55.12,t55,  E  ,toogood:t55.12_  E  ,507.7476076,1755.093057
toogood,t55.12,t55,  I  ,toogood:t55.12_  I  ,472.1799468,1824.438435
toogood,t55.12,t55,  I  ,toogood:t55.12_  I  ,476.4438547,1679.40706
toogood,t55.12,t55,  A  ,toogood:t55.12_  A  ,547.0848546,1618.43417
toogood,t55.12,t55,  E  ,toogood:t55.12_  E  ,502.6895521,1682.782641
toogood,t55.12,t55,  I  ,toogood:t55.12_  I  ,414.3160085,1859.159545
toogood,t55.12,t55,  E  ,toogood:t55.12_  E  ,484.9135648,1751.811304
toogood,t55.12,t55,  U  ,toogood:t55.12_  U  ,461.690267,1181.265682
toogood,t55.13,t55,  A  ,toogood:t55.13_  A  ,522.0355627,1498.498105
toogood,t55.13,t55,  u:  ,toogood:t55.13_  u:  ,365.2509893,1298.175193
toogood,t55.13,t55,  u:  ,toogood:t55.13_  u:  ,426.1343797,1356.130946
toogood,t55.13,t55,  u:  ,toogood:t55.13_  u:  ,373.284398,1497.942338
toogood,t55.13,t55,  A  ,toogood:t55.13_  A  ,629.0823158,1746.737896
toogood,t55.13,t55,  o:  ,toogood:t55.13_  o:  ,518.5732013,1686.462453
toogood,t55.13,t55,  V  ,toogood:t55.13_  V  ,551.702376,1355.375602
toogood,t55.13,t55,  u:  ,toogood:t55.13_  u:  ,431.2455786,1346.889849
toogood,t55.13,t55,  i:  ,toogood:t55.13_  i:  ,306.6199561,1967.757962
toogood,t55.13,t55,  i:  ,toogood:t55.13_  i:  ,393.660655,1936.974165
toogood,t55.13,t55,  i:  ,toogood:t55.13_  i:  ,337.3593084,1952.081285
toogood,t55.13,t55,  E  ,toogood:t55.13_  E  ,529.468511,1538.319874
toogood,t55.14,t55,  u:  ,toogood:t55.14_  u:  ,392.5791617,1325.146097
toogood,t55.14,t55,  o:  ,toogood:t55.14_  o:  ,533.0081695,1618.848981
toogood,t55.14,t55,  O  ,toogood:t55.14_  O  ,570.044912,1171.251628
toogood,t55.14,t55,  A  ,toogood:t55.14_  A  ,564.8695842,1552.392001
toogood,t55.14,t55,  i:  ,toogood:t55.14_  i:  ,350.8007439,1926.696065
toogood,t55.14,t55,  u:  ,toogood:t55.14_  u:  ,367.2477211,1288.405607
toogood,t55.14,t55,  I  ,toogood:t55.14_  I  ,429.8948286,1660.004037
toogood,t55.14,t55,  u:  ,toogood:t55.14_  u:  ,376.3816896,1290.221055
toogood,t55.14,t55,  I  ,toogood:t55.14_  I  ,423.8915443,1553.741801
toogood,t55.15,t55,  u:  ,toogood:t55.15_  u:  ,405.5198899,1321.182538
toogood,t55.15,t55,  E  ,toogood:t55.15_  E  ,497.7123576,1530.782685
toogood,t55.15,t55,  O  ,toogood:t55.15_  O  ,612.6329537,1252.830518
toogood,t55.15,t55,  u:  ,toogood:t55.15_  u:  ,400.882446,1349.344473
toogood,t55.15,t55,  I  ,toogood:t55.15_  I  ,491.2972517,1492.853361
toogood,t55.15,t55,  @:  ,toogood:t55.15_  @:  ,476.2104803,1315.993938
toogood,t55.15,t55,  u:  ,toogood:t55.15_  u:  ,416.1980799,1265.351673
toogood,t55.15,t55,  E  ,toogood:t55.15_  E  ,516.4667841,1573.286637
toogood,t55.15,t55,  a:  ,toogood:t55.15_  a:  ,640.6076843,1322.705386
toogood,t55.15,t55,  A  ,toogood:t55.15_  A  ,643.6674775,1657.966325
toogood,t55.15,t55,  u:  ,toogood:t55.15_  u:  ,402.4744297,1261.473964
