Speaker,filename,Group,Vowel,utts_vow,F1,F2
toogood,t55.1,t55,E,toogood:t55.1_E,707.0824736,1726.261693
toogood,t55.1,t55,I,toogood:t55.1_I,496.925824,1713.825375
toogood,t55.10,t55,O,toogood:t55.10_O,615.0427315,1156.498565
toogood,t55.10,t55,i:,toogood:t55.10_i:,680.0171039,1848.979868
toogood,t55.10,t55,U,toogood:t55.10_U,472.6494076,1295.562587
toogood,t55.10,t55,U,toogood:t55.10_U,436.9082435,1236.608072
toogood,t55.10,t55,V,toogood:t55.10_V,641.6119845,1504.912367
toogood,t55.10,t55,o:,toogood:t55.10_o:,542.6930065,863.2190973
toogood,t55.10,t55,E,toogood:t55.10_E,537.7409163,1627.685502
toogood,t55.10,t55,O,toogood:t55.10_O,743.1055292,1214.714747
toogood,t55.10,t55,A,toogood:t55.10_A,644.6135095,1802.31362
toogood,t55.10,t55,O,toogood:t55.10_O,514.1738365,1256.003993
toogood,t55.11,t55,O,toogood:t55.11_O,700.3361988,1193.833946
toogood,t55.11,t55,@:,toogood:t55.11_@:,620,1511.311992
toogood,t55.11,t55,u:,toogood:t55.11_u:,383.2017231,1404.039717
toogood,t55.11,t55,a:,toogood:t55.11_a:,688.9469661,1260.169225
toogood,t55.11,t55,I,toogood:t55.11_I,416.9841796,1811.728594
toogood,t55.11,t55,@:,toogood:t55.11_@:,557.0316205,1552.622555
toogood,t55.11,t55,u:,toogood:t55.11_u:,431.906158,1310.372834
toogood,t55.12,t55,o:,toogood:t55.12_o:,531.5455697,993.9924912
toogood,t55.12,t55,E,toogood:t55.12_E,554.18284,1775.02754
toogood,t55.12,t55,I,toogood:t55.12_I,541.532457,1746.264775
toogood,t55.12,t55,I,toogood:t55.12_I,465.5605338,1685.095728
toogood,t55.12,t55,A,toogood:t55.12_A,604.0341499,1714.35565
toogood,t55.12,t55,E,toogood:t55.12_E,531.8384396,1692.577993
toogood,t55.12,t55,I,toogood:t55.12_I,450.3136064,1908.90503
toogood,t55.12,t55,E,toogood:t55.12_E,502.7392546,1716.62256
toogood,t55.12,t55,U,toogood:t55.12_U,478.3225935,1170.729239
toogood,t55.13,t55,A,toogood:t55.13_A,585.5156055,1644.433216
toogood,t55.13,t55,u:,toogood:t55.13_u:,357.423443,1316.024498
toogood,t55.13,t55,u:,toogood:t55.13_u:,438.0738138,1225.988
toogood,t55.13,t55,u:,toogood:t55.13_u:,350.7402812,1303.12917
toogood,t55.13,t55,A,toogood:t55.13_A,707.988,1747.988
toogood,t55.13,t55,o:,toogood:t55.13_o:,536.2557139,920.7801517
toogood,t55.13,t55,V,toogood:t55.13_V,617.1412998,1460.376974
toogood,t55.13,t55,u:,toogood:t55.13_u:,380,1291.188
toogood,t55.13,t55,i:,toogood:t55.13_i:,330.7476442,2281.893114
toogood,t55.13,t55,i:,toogood:t55.13_i:,374.4345471,2141.164
toogood,t55.13,t55,i:,toogood:t55.13_i:,341.7381693,2018.543572
toogood,t55.13,t55,E,toogood:t55.13_E,555.1815924,1613.99875
toogood,t55.14,t55,u:,toogood:t55.14_u:,341.8738777,1280
toogood,t55.14,t55,o:,toogood:t55.14_o:,536.6428662,840
toogood,t55.14,t55,O,toogood:t55.14_O,625.1138419,1057.473294
toogood,t55.14,t55,A,toogood:t55.14_A,604.3175285,1740
toogood,t55.14,t55,i:,toogood:t55.14_i:,353.0254616,1943.079281
toogood,t55.14,t55,u:,toogood:t55.14_u:,359.2963931,1041.976
toogood,t55.14,t55,I,toogood:t55.14_I,375.5297193,2219.412
toogood,t55.14,t55,u:,toogood:t55.14_u:,299.1754942,1380.424
toogood,t55.14,t55,I,toogood:t55.14_I,416.7896534,1780
toogood,t55.15,t55,u:,toogood:t55.15_u:,381.3443474,1417.204675
toogood,t55.15,t55,E,toogood:t55.15_E,603.9581022,1527.788
toogood,t55.15,t55,O,toogood:t55.15_O,750.6611947,1265.213455
toogood,t55.15,t55,u:,toogood:t55.15_u:,411.2740982,1241.764
toogood,t55.15,t55,I,toogood:t55.15_I,483.788,1760.7974
toogood,t55.15,t55,@:,toogood:t55.15_@:,513.603471,1290.433409
toogood,t55.15,t55,u:,toogood:t55.15_u:,382.6201782,1360.188
toogood,t55.15,t55,E,toogood:t55.15_E,538.6211167,1646.034361
toogood,t55.15,t55,a:,toogood:t55.15_a:,717.5607012,1287.786756
toogood,t55.15,t55,A,toogood:t55.15_A,669.3027415,1676.005492
toogood,t55.15,t55,u:,toogood:t55.15_u:,348.609294,1180
